sku,codigo_fornecedor,descricao,ativo,marca,categoria
EL102,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL103,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL104,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL105,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL106,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL107,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL108,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EC118,None,Laquila Escape,sim,laquila,escape
EL109,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EC117,None,Laquila Escape,sim,laquila,escape
EC115,None,Laquila Escape,sim,laquila,escape
CX102,None,Laquila Coxim,sim,laquila,coxim
CX103,None,Laquila Coxim,sim,laquila,coxim
CX104,None,Laquila Coxim,sim,laquila,coxim
CX105,None,Laquila Coxim,sim,laquila,coxim
CX106,None,Laquila Coxim,sim,laquila,coxim
EC101,None,Laquila Escape,sim,laquila,escape
EC102,None,Laquila Escape,sim,laquila,escape
EC103,None,Laquila Escape,sim,laquila,escape
EC104,None,Laquila Escape,sim,laquila,escape
EC105,None,Laquila Escape,sim,laquila,escape
EC106,None,Laquila Escape,sim,laquila,escape
EC107,None,Laquila Escape,sim,laquila,escape
EC108,None,Laquila Escape,sim,laquila,escape
EC109,None,Laquila Escape,sim,laquila,escape
EC110,None,Laquila Escape,sim,laquila,escape
EC111,None,Laquila Escape,sim,laquila,escape
EC112,None,Laquila Escape,sim,laquila,escape
EC113,None,Laquila Escape,sim,laquila,escape
EC114,None,Laquila Escape,sim,laquila,escape
EC116,None,Laquila Escape,sim,laquila,escape
EL110,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL111,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL112,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EM114,None,Laquila Cubo e Plato,sim,laquila,cubo e plato
EM115,None,Laquila Cubo e Plato,sim,laquila,cubo e plato
EM116,None,Laquila Cubo e Plato,sim,laquila,cubo e plato
EM117,None,Laquila Cubo e Plato,sim,laquila,cubo e plato
EM118,None,Laquila Cubo Embreagem,sim,laquila,cubo embreagem
EM119,None,Laquila Cubo Embreagem,sim,laquila,cubo embreagem
EM120,None,Laquila Cubo Embreagem,sim,laquila,cubo embreagem
EM121,None,Laquila Cubo Embreagem,sim,laquila,cubo embreagem
EM122,None,Laquila Cubo Embreagem,sim,laquila,cubo embreagem
EM123,None,Laquila Cubo Embreagem,sim,laquila,cubo embreagem
EM124,None,Laquila Cubo Embreagem,sim,laquila,cubo embreagem
EM125,None,Laquila Cubo Embreagem,sim,laquila,cubo embreagem
EM126,None,Laquila Cubo Embreagem,sim,laquila,cubo embreagem
EM127,None,Laquila Cubo Embreagem,sim,laquila,cubo embreagem
EM128,None,Laquila Cubo Embreagem,sim,laquila,cubo embreagem
EM129,None,Laquila Cubo Embreagem,sim,laquila,cubo embreagem
EM130,None,Laquila Cubo Embreagem,sim,laquila,cubo embreagem
EM131,None,Laquila Disco de embreagem,sim,laquila,disco de embreagem
EM132,None,Laquila Disco de embreagem,sim,laquila,disco de embreagem
EM113,None,Laquila Cubo e Plato,sim,laquila,cubo e plato
EM112,None,Laquila Cubo e Plato,sim,laquila,cubo e plato
EM111,None,Laquila Cubo e Plato,sim,laquila,cubo e plato
EM110,None,Laquila Cubo e Plato,sim,laquila,cubo e plato
EL113,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL114,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL115,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL116,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL117,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL118,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL119,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL120,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EL121,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
CX101,None,Laquila Coxim,sim,laquila,coxim
EL122,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
EM101,None,Laquila Carcaça,sim,laquila,carcaça
EM102,None,Laquila Carcaça,sim,laquila,carcaça
EM103,None,Laquila Carcaça,sim,laquila,carcaça
EM104,None,Laquila Carcaça,sim,laquila,carcaça
EM105,None,Laquila Carcaça,sim,laquila,carcaça
EM106,None,Laquila Cubo e Plato,sim,laquila,cubo e plato
EM107,None,Laquila Cubo e Plato,sim,laquila,cubo e plato
EM108,None,Laquila Cubo e Plato,sim,laquila,cubo e plato
EM109,None,Laquila Cubo e Plato,sim,laquila,cubo e plato
EL123,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
CV101,None,Laquila Cotoveleira,sim,laquila,cotoveleira
CT109,None,Laquila Coletes,sim,laquila,coletes
CT108,None,Laquila Coletes,sim,laquila,coletes
CP945,None,Laquila Capacetes,sim,laquila,capacetes
CP946,None,Laquila Capacetes,sim,laquila,capacetes
CP947,None,Laquila Capacetes,sim,laquila,capacetes
CP948,None,Laquila Capacetes,sim,laquila,capacetes
CP949,None,Laquila Capacetes,sim,laquila,capacetes
CP950,None,Laquila Capacetes,sim,laquila,capacetes
CP951,None,Laquila Capacetes,sim,laquila,capacetes
CP952,None,Laquila Capacetes,sim,laquila,capacetes
CP953,None,Laquila Capacetes,sim,laquila,capacetes
CP954,None,Laquila Capacetes,sim,laquila,capacetes
CP955,None,Laquila Capacetes,sim,laquila,capacetes
CP956,None,Laquila Capacetes,sim,laquila,capacetes
CP957,None,Laquila Capacetes,sim,laquila,capacetes
CP958,None,Laquila Capacetes,sim,laquila,capacetes
CP959,None,Laquila Capacetes,sim,laquila,capacetes
CP960,None,Laquila Capacetes,sim,laquila,capacetes
