"SKU","ESTOQUE","ItmsGrpCod","GrupoItens","U_G2W_Subgrupo","Descr","FirmCode","FirmName","CodeBars","DEP_PRINCIPAL","NcmCode","U_G2W_FonteProd","FONTE","GRUPO_MATERIAS","CURVA","SuppCatNum"
PM254,0.000000,136,VSR,"204",Kit pistão,18,Laquila,"7899248122598","04","8409.91.20","2","2",2,C,
AUGS510,0.000000,143,Autparts,"279",Placa de Diodos,25,Gauss,"7898252651360",,"8504.40.21","5","5",-1,C,GA1677
AUMW001,0.000000,143,Autparts,"110",Sensor de pressão coletor,5,Bosch,,,"9032.89.82","0","0",2,C,"261230095"
LC225,0.000000,136,VSR,"142",Cabo de embreagem,18,Laquila,"7899248121171","04","8714.10.00","2","2",2,C,
PM252,0.000000,136,VSR,"204",Kit pistão,18,Laquila,"7899248171565","04","8409.91.20","2","2",2,C,
AUPC085,0.000000,143,Autparts,"001",Nenhum,5,Bosch,,,"8708.30.19","2","2",2,C,SKU LIVRE
AUPI012,0.000000,143,Autparts,"075",Ponteira,3,Luzian,,,"8708.92.00","2","2",2,C,P003
PM136,0.000000,136,VSR,"204",Kit pistão,18,Laquila,"7899248159341","04","8409.91.20","2","2",2,C,
AUBA007,0.000000,143,Autparts,"262",Bomba de alta pressão,5,Bosch,"4047025322843",,"8413.30.10","2","2",1,C,"261520289"
AUGB073,0.000000,143,Autparts,"080",Bico Injetor,25,Gauss,"7899751921497",,"8409.99.69","2","2",-1,C,GI9038
AUGB074,0.000000,143,Autparts,"080",Bico Injetor,25,Gauss,"7899751927574",,"8409.99.69","2","2",-1,C,GI9040
AUDV011,0.000000,143,Autparts,"035",Farol,14,Arteb,"7896482526434",,"8512.20.11","0","0",1,C,FF48LE
AUDV012,0.000000,143,Autparts,"035",Farol,14,Arteb,"7896482526434",,"8512.20.11","0","0",1,C,FF48LD
CP677,0.000000,136,VSR,"006",Capacetes,18,Laquila,"7909201026136","04","6506.10.00","2","2",2,C,
AUSB229,0.000000,143,Autparts,"278",Sensor Pressão Turbina,5,Bosch,"4047024374478",,"9026.20.90","2","2",-1,C,"261230224"
CP678,0.000000,136,VSR,"006",Capacetes,18,Laquila,"7909201026143","04","6506.10.00","2","2",2,C,
TR102,0.000000,136,VSR,"261",Travas de segurança,18,Laquila,"4003318112539","04","8301.40.00","2","2",2,C,
TR103,0.000000,136,VSR,"261",Travas de segurança,18,Laquila,"4003318374920","04","8301.40.00","2","2",2,C,
FL231,0.000000,136,VSR,"191",Filtro de óleo,18,Laquila,"7899248157217","04","8421.23.00","2","2",2,C,
AUSB018,0.000000,143,Autparts,"112",Sonda Lambda,5,Bosch,"4047025024242",,"8543.20.00","2","2",2,C,"258986722"
AUVB071,1.000000,143,Autparts,"082",Vela de Ignição,5,Bosch,"7891009323473",,"8511.10.00","5","5",-1,C,F000KE0P19
AUPO040,1.000000,143,Autparts,"084",Pastilha Orgânica,5,Bosch,,,"8708.30.19","2","2",1,C,"0986BB0710"
AUPL041,1.000000,143,Autparts,"001",Nenhum,9,Valeo,,,"8512.90.00","2","2",2,C,"578417"
AUFB015,1.000000,143,Autparts,"189",Filtro de ar,5,Bosch,"7891009259680",,"8421.99.99","0","0",1,C,"986B02320"
AULO021,2.000000,143,Autparts,"207",Lâmpada do farol,4,Osram,,,"8539.21.10","2","2",2,C,"64212CBI"
AUCN003,2.000000,143,Autparts,"078",Cabo de Ignição,8,NGK,,,"8544.30.00","5","5",1,C,SCT04
AUBF002,18.000000,143,Autparts,"096",Oleo Lubrificante,5,Bosch,,,"3819.00.00","5","5",2,C,"204032339"
AUGZ009,6.000000,143,Autparts,"018",Buzina,25,Gauss,"7898541345185",,"8512.30.00","2","2",-1,C,GB1073
