sku,vehicletype,desc,brandid,categoryid,codigo_fornecedor,ean,gtin
"AUGI078","carro","Gauss Bobina de Ignição","25","113","GC4074","8511.30.20","8511.30.20"
"AUGI079","carro","Gauss Bobina de Ignição","25","113","GC4077","8511.30.20","8511.30.20"
"AUGI080","carro","Gauss Bobina de Ignição","25","113","GC4078","8511.30.20","8511.30.20"
"AUGI081","carro","Gauss Bobina de Ignição","25","113","GC4080","8511.30.20","8511.30.20"
"AUGI082","carro","Gauss Bobina de Ignição","25","113","GC4084","8511.30.20","8511.30.20"
"AUGI083","carro","Gauss Bobina de Ignição","25","113","GC4094","8511.30.20","8511.30.20"
"AUGI084","carro","Gauss Bobina de Ignição","25","113","GC4095","8511.30.20","8511.30.20"
"AUGI085","carro","Gauss Bobina de Ignição","25","113","GC4096","8511.30.20","8511.30.20"
"AUGI086","carro","Gauss Bobina de Ignição","25","113","GC4097","8511.30.20","8511.30.20"
"AUGI087","carro","Gauss Bobina de Ignição","25","113","GC4098","8511.30.20","8511.30.20"
"AUGI088","carro","Gauss Bobina de Ignição","25","113","GC4099","8511.30.20","8511.30.20"
"AUGI089","carro","Gauss Bobina de Ignição","25","113","GC4104","8511.30.20","8511.30.20"
"AUGI090","carro","Gauss Bobina de Ignição","25","113","GC4105","8511.30.20","8511.30.20"
"AUGI091","carro","Gauss Bobina de Ignição","25","113","GC4107","8511.30.20","8511.30.20"
"AUGI092","carro","Gauss Bobina de Ignição","25","113","GC4110","8511.30.20","8511.30.20"
"AUGI093","carro","Gauss Bobina de Ignição","25","113","GC4111","8511.30.20","8511.30.20"
"AUGI094","carro","Gauss Bobina de Ignição","25","113","GC4114","8511.30.20","8511.30.20"
"AUGI095","carro","Gauss Bobina de Ignição","25","113","GC4115","8511.30.20","8511.30.20"
"AUGI096","carro","Gauss Bobina de Ignição","25","113","GC4116","8511.30.20","8511.30.20"
"AUGI097","carro","Gauss Bobina de Ignição","25","113","GC4117","8511.30.20","8511.30.20"
"AUGI098","carro","Gauss Bobina de Ignição","25","113","GC4118","8511.30.20","8511.30.20"
"AUGI099","carro","Gauss Bobina de Ignição","25","113","GC4123","8511.30.20","8511.30.20"
