sku,bar_code,desc,tipo_de_veiculo,marca_id,cat_id
"AUGL083","7899751916868","Gauss Lâmpadas","carro","25","50"
"AUGL084","7899751918503","Gauss Lâmpadas","carro","25","50"
"AUGL085","7899751918343","Gauss Lâmpadas","carro","25","50"
"AUGL086","7899751918312","Gauss Lâmpadas","carro","25","50"
"AUGL087","7898541343365","Gauss Lâmpadas","carro","25","50"
"AUGL088","7898541343358","Gauss Lâmpadas","carro","25","50"
"AUGL089","7898541343389","Gauss Lâmpadas","carro","25","50"
"AUGL090","7898541343389","Gauss Lâmpadas","carro","25","50"
"AUGL091","7898541343396","Gauss Lâmpadas","carro","25","50"
"AUGL092","7898541343396","Gauss Lâmpadas","carro","25","50"
"AUGL093","7899751918664","Gauss Lâmpadas","carro","25","50"
"AUGL094","7899751918701","Gauss Lâmpadas","carro","25","50"
"AUGL095","7899751918374","Gauss Lâmpadas","carro","25","50"
"AUGL096","7898252655672","Gauss Lâmpadas","carro","25","50"
"AUGL097","7899751900423","Gauss Lâmpadas","carro","25","50"
"AUGL098","7899751918671","Gauss Lâmpadas","carro","25","50"
"AUGL099","7898541349299","Gauss Lâmpadas","carro","25","50"
"AUGL100","7899751918367","Gauss Lâmpadas","carro","25","50"
"AUGL101","7898252655689","Gauss Lâmpadas","carro","25","50"
"AUGL102","7898252655696","Gauss Lâmpadas","carro","25","50"
